genes	MYCNneg_RUNX1t1Het_Rep1	MYCNneg_RUNX1t1Het_Rep2	MYCNneg_RUNX1t1Het_Rep3	MYCNneg_RUNX1t1Hom_Rep1	MYCNneg_RUNX1t1Hom_Rep2	MYCNneg_RUNX1t1Hom_Rep3	MYCNneg_RUNX1t1Hom_Rep4	MYCNpos_RUNX1t1Het_Rep1	MYCNpos_RUNX1t1Het_Rep2	MYCNpos_RUNX1t1Hom_Tumour_Rep1	MYCNpos_RUNX1t1Hom_Tumour_Rep2	MYCNpos_RUNX1t1Hom_Tumour_Rep3	MYCNpos_RUNX1t1Hom_Tumour_Rep4	MYCNpos_RUNX1t1Hom_Rep1	MYCNpos_RUNX1t1Hom_Rep2	MYCNpos_RUNX1t1Hom_Rep30610005C13Rik	0	0	1.06	0	0	0.92	0	0	0.21	0	0	8.14	0.11	0	0.38	0.21
0610007P14Rik	22.55	12.53	27.49	21.81	29.21	20.99	20.25	14.32	19.42	21.99	20.54	22.12	20.63	18.15	20.09	29.93
0610009B22Rik	18.39	14.96	13.99	14.79	7	12.71	15.15	15.16	16.71	7.16	9.19	11.88	13.51	9.13	13.56	15.73
0610009L18Rik	18.49	2.89	4.68	10.28	5.8	10.77	7.9	8.95	18.99	0.99	4.67	1.41	0.94	4.43	5.25	6.52
0610009O20Rik	40.88	40.85	44.07	43	33.76	45.7	45.91	47.46	46.64	38.17	46.59	46.61	41.54	36.54	50.07	44.42
0610010B08Rik	9.84	3.88	5.89	7.71	4.33	9.19	7.94	9.48	10.31	4.23	3.02	2.75	4.72	7.52	3.86	5.08
0610010F05Rik	45.78	47.37	44.33	48.89	23.41	38.65	44.4	48.05	50.23	27.46	30.81	26	35.65	44.93	38	45.97
0610010K14Rik	36.33	32.79	27.16	39.85	34.96	35.96	30.58	35.09	32.44	56.81	68.76	67.69	51.71	57.01	40.04	46.95
0610011F06Rik	45.99	36.4	30.86	45.09	26.25	36.42	31.19	26.48	36	21.92	42.59	38.34	35.83	16.76	32.71	31.97
0610012G03Rik	65.21	25.76	40.09	64.47	53.79	24.91	32.03	51.05	53.97	14.71	17.74	15.59	14.89	34.35	32.36	23.71
0610030E20Rik	7.58	6.43	7.46	5.78	16.11	9.28	9.4	7.51	7.51	11.79	9.59	11.32	9.58	10.18	11.67	9.08
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0.84	0	0	0	0
0610037L13Rik	19.26	14.8	15.15	18.04	15.99	16.23	19.22	24.85	17	13.02	14.13	13.46	15.21	16.71	18.99	17.5
0610038B21Rik	4.7	0.38	1.64	1.75	4.23	2.86	1.61	2.84	3.39	1.56	0.93	1.53	0.55	6.49	2.04	1.82
0610039H22Rik	0	0.27	0.62	1.14	0.38	0.8	0.55	0.35	0	1.82	0.37	0.86	0.28	0	0.35	0.48
0610039K10Rik	0.27	1.32	0.55	0.26	0	0.68	0	0	0	1.47	0.13	0.52	0.2	0	0.98	0.08
0610040B10Rik	7.58	3.62	3.06	7.29	11.55	12.12	4.32	4.91	1.74	2.02	1.02	0.55	2.07	2.75	0.76	4.27
0610040F04Rik	0	0	0	0	0	0.15	0	0	0.33	0	0	0	0	0	0	0
0610040J01Rik	5.2	3.13	4.39	5.19	4.14	7.19	4.06	5.89	4.64	0.12	0.17	2.82	0.29	2.43	6.75	3.2
0610043K17Rik	1	2.56	1.37	0	0	3.06	0.7	2.69	0	0.33	0.59	0	0.83	1.48	3.95	2.13
1010001N08Rik	0.44	0	1.91	0	2.46	1.08	3.28	0.79	0.42	0	0.21	0.14	1.36	1.3	0.78	0.4
1110001J03Rik	50.9	22.84	41.35	42.62	45.12	92.63	59.96	48.05	41.57	40.45	54.98	49.96	43.28	25.51	69.29	43.31
1110002L01Rik	5.24	3.93	3.64	4.82	3.54	2.22	4.51	3.89	4.25	4.43	9.07	9.93	8.35	5.22	5.12	7.74
1110004E09Rik	53.53	55.28	62.58	57.64	44.04	67.41	52.05	52.8	73.93	51.39	74.86	83.01	69.33	49	62.71	52.14
1110004F10Rik	233.78	202.08	246.02	231.05	165.98	206.98	218.59	188.37	236.1	274.93	264.5	247.51	276.55	255.24	211.18	218.73
