genes	MYCNneg_Runx1t1Het	MYCNneg_Runx1t1Hom	MYCNpos_Runx1t1Het	MYCNpos_Runx1t1Hom	Tumour
Cckar	33.22666667	41.555	75.915	8.033333333	0.0225
Slc38a11	46.24666667	50.015	91.435	13.71333333	0.405
Syt10	4.75	5.205	10.465	0.646666667	0
Gna14	11.03666667	12.2175	17.745	2.706666667	0.1025
Gclc	107.3233333	107.8575	164.175	44.39333333	24.565
Asic1	3.796666667	6.365	10	1.473333333	0.595
Plxnc1	44.99333333	45.4825	63.305	23.76	4.17
Tbx3	57.68333333	58.73	79.43	24.17	10.4675
Efr3a	123.9033333	111.1725	143.67	54.31333333	10.24
Btbd11	7.233333333	9.9175	15.545	3.12	5.3525
Snca	285.8966667	204.875	0.265	143.3633333	17
Kitl	41.43	46.0175	66.4	18.84	1.27
Vwa5b1	3.666666667	3.6575	7.61	0.95	0.085
Nap1l5	339.3433333	283.855	428.25	161.4566667	58.325
Amigo2	31.39333333	38.04	48.075	15.23333333	1.395
Cntn5	35.57	28.515	43.445	9.753333333	0.025
Brinp1	77.3	63.7875	93.365	27.31	1.9475
Rnaset2a	34.79666667	19.2525	0	28.62	22.73
Smad6	10.05666667	9.5525	15.7	3.47	0.5975
Tmed8	23.75	25.3875	30.295	12.55666667	8.2225
Sstr2	20.78	26.74	50.875	7.423333333	1.3375
Rnf152	15.13	13.2475	21.175	6.633333333	0.365
Wnt2b	46.36	53.7825	64.87	20.96	2.83
Entpd3	80.98	70.185	93.405	27.63333333	0.5125
Prkca	49.54	51.7375	78.015	26.93	5.84
Timeless	12.18333333	14.24	15.03	51.31333333	90.67
Cenpi	0.57	0.91	0.83	5.56	10.435
Vsnl1	33.95333333	30.475	51.875	11.63333333	4.69
Stxbp5l	23.64666667	22.6125	30.53	11.88	6.725
Taf9b	32.56666667	34.31	54.33	18.46	3.635
Sez6l	48.45666667	44.7875	70.745	13.61333333	1.69
Ngb	43.87	48.5925	59.33	15.73	0.485
Hdac9	11.9	11.3975	15.48	4.993333333	13.7775
Gm7334	7.88	4.1275	0	10.96	13.1575
Rgs7bp	26.24666667	21.72	29.915	10.51333333	3.975
Lrrc4c	22.53666667	26.185	48.705	11.79333333	0.37
Slc35f3	17.03666667	14.695	22.47	5.89	0.41
Slc2a13	34.73	30.4025	42.755	12.5	1.835
Tmem114	3.896666667	4.6075	9.495	1.4	0
Prdm8	4.006666667	2.9725	5.765	0.986666667	0.0425
Npy4r	9.203333333	11.8125	17.1	3.613333333	0.0425
Dcx	16.22333333	13.5175	23.325	81.23666667	70.17
Rab27b	11.65	10.115	12.385	3.73	0.31
Rprl2	923.32	747.8225	0	656.83	1288.8475
Tmc3	76.06333333	64.3425	81.705	21.35333333	0.5825
Impact	106.6533333	95.385	131.62	56.71333333	20.68
Atp6v1b2	591.1433333	604.6225	813.265	325.77	111.8625
Chst7	16.80666667	16.1325	17.295	4.2	0.5
Sptb	12.48333333	8.08	12.44	48.77333333	33.85
Kcnh1	20.78666667	18.5525	25.7	8.313333333	0.185
Glp1r	3.586666667	3.1025	7.995	1.083333333	0.19
Vash2	3.156666667	3.065	5.57	26.52333333	41.23
Marcksl1	200.7433333	197.2575	191.815	518.7266667	763.9025
Cdk18	1.77	2.0275	4.355	0.623333333	1.3325
Rab3c	211.7166667	173.91	251.675	103.3433333	23.255
Traf4	20.21666667	22.035	22.995	52.37333333	73.8225
Lrp1b	1.61	1.54	3.395	0.65	0.09
Doc2a	3.54	4.735	5.8	21.85666667	43.215
Casp3	17.08666667	18.245	19.36	55.94	65.125
Cxadr	5.58	9.3025	12.935	48.02666667	75.4325
Nefh	300.3733333	255.41	330.93	128.3733333	120.69
Npy	4280.423333	3903.3	5354.1	1287.23	50.8425
6430548M08Rik	62.81333333	52.5975	78.45	33.08333333	11.65
Nxn	117.7833333	113.5525	140.32	57.14	12.91
Plcl1	37.01333333	30.94	37.62	13.11	1.185
Eva1c	25.84666667	21.04	32.76	9.343333333	0.6225
Hspb1	122.8833333	142.275	200.76	44.65333333	27.84
Acta1	49.25333333	14.5825	4.99	44.93333333	4.855
Evpl	40.98	34.0225	60.28	17.44333333	3.3525
Atp2b4	135.9833333	114.83	154.81	55.62333333	5.3425
Asic2	165.16	132.9475	183.345	73.38	1.555
Syn2	770.83	607.185	839.105	306.8666667	24.395
Hmgn2	49.81	70.2775	83.27	275.88	499.405
Meis2	1.123333333	2.375	1.425	29.54666667	48.7475
Tmem132e	18.39333333	15.5925	23.09	8.44	2.855
Fnbp1l	21.50666667	20.53	26.405	68.64	80.4125
Gm10471	2.933333333	1.6925	4.48	0.86	0.0225
Gper1	23.32666667	22.6425	28.33	8.833333333	2.42
Akap1	31.79	34.4525	22.675	53.06333333	56.1225
Btbd3	27.11666667	27.6	32.91	75.85333333	25.485
Anln	7.516666667	7.0525	8.17	20.54666667	37.2525
Sbk1	38.00333333	41.5225	42.76	101.2166667	100.915
Osbpl6	23.99333333	21.04	34.755	13.93666667	6.4225
Pbk	1.6	2.185	7.545	51.09	77.085
Akap5	5.126666667	5.625	4.345	11.78666667	9.94
Tipin	13.88666667	17.9975	13.055	39.64	100.205
Rit2	162.8933333	159.865	216.24	80.22333333	3.15
Scn11a	4.69	4.27	6.495	1.536666667	0.005
Ivns1abp	66.19	71.8325	69.75	136.2633333	141.85
Kif20a	3.463333333	5.505	7.68	35.43	109.7275
Snord15a	2180.573333	2621.13	2507.94	3805.49	16032.9525
Chaf1b	2.01	3.2575	3.915	22.16666667	53.235
Pitpnm3	20.63333333	15.35	24.07	6.336666667	0.3225
Pde11a	11.17	10.3475	20.39	4.553333333	0.04
A330050F15Rik	13.55666667	13.505	21.105	5.446666667	0
Sfxn1	33.38666667	32.215	31.225	61.51666667	62.825
Paqr7	25.44333333	23.795	30.37	10.43666667	1.9375
Hpca	100.4733333	91.68	119.15	36.86333333	4.5475
Gng4	73.54666667	70.8175	80.615	31.16	12.125
Trp53i11	13.32666667	28.255	10.805	46.7	22.6025
Slc25a33	106.74	104.335	134.405	54.15333333	24.51
Esr1	14.95333333	15.975	20.19	6.256666667	1.4625
Arc	10.13	10.755	14.59	3.013333333	0.8125
Rassf5	28.13	32.9475	34.705	12.30333333	2.66
Trnp1	136.4666667	121.4875	172.925	58.15666667	0.235
Foxm1	5.443333333	8.7275	11.315	41.6	86.4
Rora	9.28	10.1125	11.38	5.34	2.5575
Actl6a	15.66333333	19.71	16.88	47.68666667	98.5225
Fam205a2	2.12	2	1.885	0.113333333	0
Knop1	13.09333333	14.09	12.87	27.44666667	52.45
Hist3h2ba	76.27333333	64.56	143.465	563.2833333	748.505
Ephb1	1.953333333	0.9375	0.56	3.043333333	3.8725
Cdk4	51.81666667	61.2775	67	182.73	386.5625
Arhgef9	49.18333333	43.3525	57.985	26.80333333	9.7475
Tmem64	63.08666667	57.6925	74.905	34.44333333	11.5175
Cpne2	67.10666667	63.23	85.8	32.37666667	6.6675
Vangl2	11.38	12.5675	12.27	33.65333333	45.96
Rgs8	7.293333333	6.2925	10.585	3.256666667	0.385
Prkar2b	106.9933333	80.915	62.63	140.87	110.365
Hn1l	16.78	15.3225	16.68	39.77666667	56.105
Ebf1	23.97	28.185	18.975	42.62666667	3.2675
Ttc39b	15.22333333	16.0475	17.02	7.3	1.9875
Dsn1	2.803333333	3.4275	4.75	18.43666667	27.4325
Lrrk2	14.54333333	18.295	16.5	5.98	0.92
Abcc4	38.69333333	35.8825	41.095	17.23	5.205
Dchs1	17.87	18.0375	19.925	44.21333333	51.6925
Opcml	9.476666667	9.6775	16.27	5.56	0.195
Psat1	28.05333333	27.805	25.305	54.20666667	96.53
Tmem132a	22.37666667	21.805	39.69	101.4966667	153.4175
2700094K13Rik	37.03666667	43.6875	50.115	170.3333333	222.2125
Mfsd6	118.2533333	104.0475	143.1	65.54	18.375
Mrap2	44.53333333	44.275	60.19	17.55	0.155
Fam124a	4.616666667	4.595	5.6	16.83666667	15.985
Xaf1	18.57666667	9.115	18.495	2.993333333	1.785
Mex3a	4.393333333	4.92	16.525	69.65333333	146.09
Ybx1	359.2766667	439.5925	378.635	731.04	1149.2375
Kcnj9	2.503333333	2.475	4.965	1.053333333	1.3875
Hist1h4a	101.5266667	210.7825	211.69	741.2033333	1363.6475
Phyhipl	59.33	50.32	77.595	34.55333333	22.035
Zak	11.76333333	11.46	7.835	17.48333333	23.6625
Ccdc109b	34.87	32.1025	44.25	15.41666667	5.6775
